Relative abundance	Group	tax
0.0291023647297	Health	Actinomyces
0.0493752756652	Health	Actinomyces
0.00624556015517	Health	Porphyromonas
0.0405875500507	Carries	Porphyromonas
0.0496397822434	Health	Porphyromonas
0.00365018855214	Carries	Porphyromonas
0.0316911515396	Carries	Porphyromonas
0.00104242370158	Carries	Porphyromonas
0.0344815294522	Health	Porphyromonas
0.00310288415894	Carries	Porphyromonas
0.0160006969309	Carries	Porphyromonas
0.00369994163725	Carries	Porphyromonas
0.064406285076	Health	Porphyromonas
0.0105726981676	Carries	Porphyromonas
0.0301451231721	Carries	Porphyromonas
0.0178555152959	Health	Porphyromonas
0.00685624941317	Carries	Porphyromonas
0.0297560448699	Carries	Porphyromonas
0.0494428753596	Carries	Porphyromonas
0.0319414830164	Health	Porphyromonas
0.0152667764529	Health	Porphyromonas
0.0510888909964	Carries	Porphyromonas
0.0415197321189	Carries	Porphyromonas
0.0721080661568	Health	Porphyromonas
0.00854002203623	Health	Porphyromonas
0.029122563515	Carries	Porphyromonas
0.0163303619531	Carries	Porphyromonas
0.0421682984475	Carries	Porphyromonas
0.00573161166204	Carries	Porphyromonas
0.020663177816	Health	Porphyromonas
0.00202180975202	Carries	Porphyromonas
0.0647667853044	Health	Porphyromonas
0.00480599542079	Carries	Porphyromonas
0.0222436480903	Carries	Porphyromonas
0.00521684786777	Health	Porphyromonas
0.0136813494701	Health	Porphyromonas
0.00613748918681	Carries	Porphyromonas
0.00189165913203	Carries	Porphyromonas
0.0250679822293	Health	Porphyromonas
0.0501185561166	Carries	Porphyromonas
0.120785874575	Health	Porphyromonas
0.00369684660279	Carries	Porphyromonas
0.0216127787548	Health	Porphyromonas
0.00691620670844	Health	Porphyromonas
0.0420577683257	Health	Porphyromonas
0.0168964445595	Health	Porphyromonas
0.0167867667587	Health	Lautropia
0.00124095931474	Carries	Lautropia
0.0278972533496	Health	Lautropia
0.120879117625	Carries	Lautropia
0.0105009359725	Carries	Lautropia
0.00676109191476	Carries	Lautropia
0.00028563968791	Health	Lautropia
0.0164888437006	Carries	Lautropia
0.0053971208962	Carries	Lautropia
0.0313591653477	Carries	Lautropia
0.0147771473238	Health	Lautropia
0.0035061248449	Carries	Lautropia
0.00213260078058	Carries	Lautropia
0.0160011766123	Health	Lautropia
0.0136855863457	Carries	Lautropia
0.00301500291201	Carries	Lautropia
0.0178215022734	Carries	Lautropia
0.00560618822113	Health	Lautropia
0.0625738339382	Health	Lautropia
0.00122403389561	Carries	Lautropia
0.00270012662133	Carries	Lautropia
0.00389984840198	Health	Lautropia
0.0161200121943	Health	Lautropia
0.0187694709516	Carries	Lautropia
0.0119213953439	Carries	Lautropia
0.00609162576985	Carries	Lautropia
0.097165269702	Carries	Lautropia
0.0349545083663	Health	Lautropia
0.00584812003486	Carries	Lautropia
0.000413977850053	Health	Lautropia
0.0120669685068	Carries	Lautropia
0.0104856014384	Carries	Lautropia
0.0234694971752	Health	Lautropia
0.00328521445026	Health	Lautropia
0.0400426209182	Carries	Lautropia
0.00666634894026	Carries	Lautropia
0.00174682367043	Health	Lautropia
0.0157648763221	Carries	Lautropia
0.0044528638582	Health	Lautropia
0.0458254194315	Carries	Lautropia
0.00788961578362	Health	Lautropia
0.00688071850981	Health	Lautropia
0.034154027747	Health	Lautropia
0.0504822333814	Health	Lautropia
